Country Name,Country Code,Total Population
Nicaragua,NIC,6465502
Netherlands,NLD,17231624
Norway,NOR,5311916
Nepal,NPL,28095712
Nauru,NRU,10678
New Zealand,NZL,4900600
OECD members,OED,1357997747
Oman,OMN,4829476
Other small states,OSS,30760469
Pakistan,PAK,212228288
Panama,PAN,4176868
Peru,PER,31989265
Philippines,PHL,106651394
Palau,PLW,17911
Papua New Guinea,PNG,8606324
Poland,POL,37974750
Pre-demographic dividend,PRE,919485090
Puerto Rico,PRI,3193354
"Korea, Dem. People's Rep.",PRK,25549606
Portugal,PRT,10283822
Paraguay,PRY,6956069
West Bank and Gaza,PSE,4569087
Pacific island small states,PSS,2455336
Post-demographic dividend,PST,1109728820
French Polynesia,PYF,277673
Qatar,QAT,2781682
Romania,ROU,19473970
Russian Federation,RUS,144477859
Rwanda,RWA,12301969
South Asia,SAS,1814455018
Saudi Arabia,SAU,33702757
Sudan,SDN,41801532
Senegal,SEN,15854324
Singapore,SGP,5638676
Solomon Islands,SLB,652856
Sierra Leone,SLE,7650149
El Salvador,SLV,6420740
San Marino,SMR,33784
Somalia,SOM,15008225
Serbia,SRB,6982604
Sub-Saharan Africa (excluding high income),SSA,1078222750
South Sudan,SSD,10975924
Sub-Saharan Africa,SSF,1078319512
Small states,SST,40574734
Sao Tome and Principe,STP,211032
Suriname,SUR,575987
Slovak Republic,SVK,5446771
Slovenia,SVN,2073894
Sweden,SWE,10175214
Eswatini,SWZ,1136274
Sint Maarten (Dutch part),SXM,40895
Seychelles,SYC,96762
Syrian Arab Republic,SYR,16945062
Turks and Caicos Islands,TCA,37667
Chad,TCD,15477727
East Asia & Pacific (IDA & IBRD countries),TEA,2066103849
Europe & Central Asia (IDA & IBRD countries),TEC,458942666
Togo,TGO,7889095
Thailand,THA,69428454
Tajikistan,TJK,9100847
Turkmenistan,TKM,5850902
Latin America & the Caribbean (IDA & IBRD countries),TLA,624698076
Timor-Leste,TLS,1267975
Middle East & North Africa (IDA & IBRD countries),TMN,378386080
Tonga,TON,103199
South Asia (IDA & IBRD),TSA,1814455018
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078319512
Trinidad and Tobago,TTO,1389841
Tunisia,TUN,11565203
Turkey,TUR,82340090
Tuvalu,TUV,11505
Tanzania,TZA,56313444
Uganda,UGA,42729032
Ukraine,UKR,44622518
Upper middle income,UMC,2496446325
Uruguay,URY,3449290
United States,USA,326838199
Uzbekistan,UZB,32956100
St. Vincent and the Grenadines,VCT,110210
"Venezuela, RB",VEN,28887117
British Virgin Islands,VGB,29795
Virgin Islands (U.S.),VIR,107001
Vietnam,VNM,95545959
Vanuatu,VUT,292675
World,WLD,7602432733
Samoa,WSM,196128
Kosovo,XKX,1797085
"Yemen, Rep.",YEM,28498683
South Africa,ZAF,57792520
Zambia,ZMB,17351714
Zimbabwe,ZWE,14438812
