Country Name,Country Code,Life Expectancy Years
Russian Federation,RUS,72.66219512
Rwanda,RWA,68.7
South Asia,SAS,69.41226994
Saudi Arabia,SAU,74.998
Sudan,SDN,65.095
Senegal,SEN,67.665
Singapore,SGP,83.29756098
Solomon Islands,SLB,72.835
Sierra Leone,SLE,54.309
El Salvador,SLV,73.096
San Marino,SMR,
Somalia,SOM,57.068
Serbia,SRB,75.8902439
Sub-Saharan Africa (excluding high income),SSA,61.27199431
South Sudan,SSD,57.604
Sub-Saharan Africa,SSF,61.27303249
Small states,SST,69.54213469
Sao Tome and Principe,STP,70.17
Suriname,SUR,71.57
Slovak Republic,SVK,77.26585366
Slovenia,SVN,81.37804878
Sweden,SWE,82.55853659
Eswatini,SWZ,59.401
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,72.84146341
Syrian Arab Republic,SYR,71.779
Turks and Caicos Islands,TCA,
Chad,TCD,53.977
East Asia & Pacific (IDA & IBRD countries),TEA,75.2562801
Europe & Central Asia (IDA & IBRD countries),TEC,74.04564655
Togo,TGO,60.76
Thailand,THA,76.931
Tajikistan,TJK,70.879
Turkmenistan,TKM,68.073
Latin America & the Caribbean (IDA & IBRD countries),TLA,75.35732803
Timor-Leste,TLS,69.26
Middle East & North Africa (IDA & IBRD countries),TMN,73.58362363
Tonga,TON,70.801
South Asia (IDA & IBRD),TSA,69.41226994
Sub-Saharan Africa (IDA & IBRD countries),TSS,61.27303249
Trinidad and Tobago,TTO,73.38
Tunisia,TUN,76.505
Turkey,TUR,77.437
Tuvalu,TUV,
Tanzania,TZA,65.015
Uganda,UGA,62.973
Ukraine,UKR,71.58268293
Upper middle income,UMC,75.74616011
Uruguay,URY,77.77
United States,USA,78.63902439
Uzbekistan,UZB,71.573
St. Vincent and the Grenadines,VCT,72.415
"Venezuela, RB",VEN,72.128
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,79.5195122
Vietnam,VNM,75.317
Vanuatu,VUT,70.323
World,WLD,72.57398037
Samoa,WSM,73.187
Kosovo,XKX,72.69512195
"Yemen, Rep.",YEM,66.096
South Africa,ZAF,63.857
Zambia,ZMB,63.51
Zimbabwe,ZWE,61.195
